titulo,ano_lancamento,generos,rating,num_avaliacoes,imagem,descricao,metadata
O amor é a melhor estratégia,2003,"['Sucesso nos negocios', 'Comportamento organizacional', 'Psicologia industrial']",,0,https://covers.openlibrary.org/b/id/12812155-L.jpg,"Gênero: Auto-Ajuda > Desenvolvimento Profissional Ter um trabalho gratificante, ganhar o respeito e a amizade dos colegas, ser capaz de aprender sempre mais, fazer mais negócios, influenciar positivamente as pessoas -- estes são os temas de O Amor É a Melhor Estratégia. Tim Sanders apresenta neste livro os três pilares do sucesso e da realização profissional: conhecimento (que você acumula com sua experiência e, principalmente, através da leitura), rede de relacionamentos (os amigos e contatos que já possui, mas que tem de cultivar) e compaixão (o calor umano que é capaz de transmitir aos outros).","{'autor': 'Tim Sanders', 'isbn': '8575420585', 'editora': 'Sextante'}"
O Crime de Lord Arthur Savile e O Fantasma de Canterville,1996,[],,0,,,"{'autor': 'Oscar Wilde', 'isbn': '8500001240', 'editora': 'Ediouro'}"
Cultura,2000,[],,0,https://covers.openlibrary.org/b/id/13270237-L.jpg,"Ninguém melhor que Roque Laraia para escrever sobre cultura. Em primeiro lugar, por sua familiaridade com culturas diversas que observam diretamente em pesquisas de campo entre os índios Suruí, Akuáwa e Xerente da Bacia do Tocantins, Kamayurá do Alto Xingu e Kaapor dos Rios Gurupi e Turiaçu, quando era antropólogo do Museu Nacional (UFRJ ). Em segundo lugar, por sua experiência com as variações culturais de nossa própria sociedade expressas pelos representantes regionais em contato com os grupos indígenas que estudou. Por outro lado, por meio de um documento de pesquisa com os mais diferentes temas antropológicos como docente da Universidade de Brasília, de modo a atender a demanda dos alunos, tanto na sala de aula como na orientação de teses de pós-graduação. E, finalmente, por conhecimento de causa na literatura refletida de bons textos e nos contatos por meio de antropólogos de outras instituições brasileiras e do exterior.","{'autor': 'Jonathan C. Young', 'isbn': '9788571104389', 'editora': 'Jorge Zahar'}"
Le château noir,1999,"['series:The Black Company', 'series:The Books of the North', 'dark fantasy', 'high fantasy']",,0,,,"{'autor': 'Glen Cook', 'isbn': '9782841721009', 'editora': ""L'Atalante""}"
"Primeira Impressão é a que Fica, A",2005,[],,0,,"Gênero: Auto-Ajuda > Relacionamentos Você não gostaria de saber o que os outros pensam a seu respeito? E o que você precisa fazer para causar uma boa impressão? A Primeira Impressão é a que Fica é um guia divertido, informativo e inovador sobre o momento mais importante de absolutamente todos os relacionamentos: o primeiro. É a nossa atitude nesse contato inicial que vai decidir qual será o futuro da nova relação: negócios podem ser fechados ou desfeitos, encontros casuais podem se transformar em romance ou não dar em nada, amizades podem ou não ir adiante. Com exemplos reais baseados em pesquisas e na vasta experiência das autoras, que prestam consultoria a várias das 100 maiores empresas da revista Fortune, este livro é uma ferramenta fundamental para nos ajudar a diminuir a distância entre aquilo que somos e aquilo que de fato demonstramos. Você vai descobrir não só de que forma é visto pelas pessoas como também de que maneira deve se comportar para deixar a impressão que realmente deseja. Os testes e exercícios apresentados ao longo do livro são uma excelente oportunidade de avaliar seu comportamento e de efetuar mudanças concretas para obter mais sucesso nas suas relações pessoais e profissionais.","{'autor': 'Desconhecido', 'isbn': '8575421603', 'editora': 'Sextante'}"
Mathematical aspects of nonlinear dispersive equations,2007,"['Nonlinear Differential equations', 'Nonlinear partial differential operators', 'Congresses', 'Differential equations, nonlinear', 'Differential equations, partial']",,0,https://covers.openlibrary.org/b/id/13583547-L.jpg,,"{'autor': 'Jean Bourgain', 'isbn': '9780691128603', 'editora': 'Princeton University Press'}"
Muito Longe De Casa,2007,[],,0,,"Das cerca de trezentas mil crianças-soldado que atualmente participam de conflitos pelo mundo inteiro, uma delas conseguiu escapar da morte, dos entorpecentes, da lavagem cerebral e dos abusos cometidos pelos senhores da guerra. Ao escapar, por acaso, aos doze anos, de um ataque de rebeldes, Ishmael Beah perambulou pelo interior de Serra Leoa, acompanhando a progressão dos conflitos da guerra civil de seu país. Fã de hip hop e de boa literatura, conhecido por recitar Shakespeare em sua aldeia natal, Beah é aliciado pelo exército do governo e, além de vítima, torna-se algoz. Jogado na roda-viva da guerra, passa parte da infância e a adolescência matando sob o comando de adultos e fugindo da morte. Mesmo depois de reabilitado pelo Unicef, seguiu fugindo da matança e de seus muitos fantasmas - traumas profundos que leva para a sua escrita. Aos vinte e cinco anos, Beah relata, aqui, uma experiência mais rica do que qualquer ficção jamais conseguiria recriar. E o faz com verdadeira força literária.","{'autor': 'ISHMAEL BEAH', 'isbn': '9788500021213', 'editora': 'Ediouro'}"
"Nonlinearity and Disorder: Theory and Applications (NATO Science Series II: Mathematics, Physics and Chemistry)",2002,"['Nonlinear theories', 'Mathematical physics']",,0,https://covers.openlibrary.org/b/id/1731108-L.jpg,,"{'autor': 'Ole Bang', 'isbn': '9781402001925', 'editora': 'Springer'}"
La Compagnie Noire : Elle est les Ténèbres : Tome 1,2004,"['series:The Black Company', 'series:The Books of Glittering Stone', 'dark fantasy', 'high fantasy']",,0,https://covers.openlibrary.org/b/id/8648137-L.jpg,,"{'autor': 'Glen Cook', 'isbn': '9782841722587', 'editora': ""L'Atalante Editions""}"
Essentials of Nonlinear Optics,2014,['Nonlinear optics'],,0,https://covers.openlibrary.org/b/id/10515246-L.jpg,,"{'autor': 'Y. V. G. S. Murti', 'isbn': '9781118901069', 'editora': 'Wiley'}"
