id,titulo,titulos_alternativos,ano_lancamento
93,Mobile Suit Gundam SEED,"['Mobile Suit Gundam Seed', '機動戦士ガンダムSEED', 'Mobile Suit Gundam SEED', 'Kidou Senshi Gundam SEED']",2002.0
95,∀ Gundam,"['∀ガンダム', '∀ Gundam', 'Turn A Gundam', 'Mobile Suit Gundam Turn A']",1999.0
96,Mobile Fighter G Gundam,"['Kidou Butouden G Gundam', 'Mobile Fighter G Gundam', 'Mobile Fighter G-Gundam', '機動武闘伝Gガンダム']",1994.0
97,Last Exile,"['Last Exile', 'LAST EXILE（ラストエグザイル）']",2003.0
98,My-Hime,"['舞-HiME', 'My Princess', 'My-Hime', 'Mai-HiME']",2004.0
99,My-Otome,"['舞-乙HiME', 'Mai-OtoHiME', 'My-Otome', 'Mai Oto-Hime', 'Dancing Maiden', 'Mai-Otome']",2005.0
100,Prétear: The New Legend of Snow White,"['Prétear', 'Prétear: The New Legend of Snow White', '新白雪姫伝説プリーティア', 'Shin Shirayuki-hime Densetsu Prétear', 'Shin Shirayuki-hime Densetsu Pretear']",2001.0
101,Air,"['Air', 'AIR']",2005.0
102,"Babe, My Love","['Love You Baby', 'Aishiteruze Baby★★', 'Babe My Love', '愛してるぜ ベイベ★★', 'Aishiteru ze Baby', 'I Love You', 'Baby', 'Babe, My Love']",2004.0
104,"Ceres, Celestial Legend","['Ayashi no Ceres', '妖しのセレス', 'Ceres, Celestial Legend', 'Ceres: La Leyenda Celestial']",2000.0
105,Boys Be...,"['ボーイズ・ビー', 'Boys Be...']",2000.0
106,Hana Yori Dango,"['Hana Yori Dango', '花より男子', 'Hana yori Dango', 'HYD', 'Boys Over Flowers']",1996.0
107,Jing: King of Bandits,"['Jing: King of Bandits', 'King of Bandit Jing', '王ドロボウ JING', 'Ou Dorobou Jing']",2002.0
109,Burst Angel,"['Burst Angel', '爆裂天使', 'Bakuretsu Tenshi']",2004.0
111,Corrector Yui,"['Collector Yui', 'コレクター・ユイ', 'Corrector Yui']",1999.0
112,The Cosmopolitan Prayers,"['The Cosmopolitan Prayers', '超変身コス∞プレイヤー', 'Super Transformation Cosprayers', 'Chou Henshin Cosprayers']",2004.0
114,Cromartie High School,"['Sakigake!! Cromartie Koukou', '魁!! クロマティ高校', 'Cromartie High School']",2003.0
116,El-Hazard: The Wanderers,"['Shinpi no Sekai El-Hazard (TV)', '神秘の世界エルハザード', 'El-Hazard: The Magnificent World (TV)', 'El-Hazard: The Wanderers', 'Shinpi no Sekai El-Hazard']",1995.0
119,Final Approach,"['φなる・あぷろーち', 'Final Approach']",2004.0
120,Fruits Basket,"['Fruits Basket', 'Furuba', 'フルーツバスケット']",2001.0
121,Fullmetal Alchemist,"['Hagane no Renkinjutsushi', 'Fullmetal Alchemist', 'Full Metal Alchemist', 'FMA', '鋼の錬金術師']",2003.0
122,Looking for the Full Moon,"['Full Moon wo Sagashite', 'Mangetsu wo Sagashite', 'Searching for the Full Moon', 'Full Moon o Sagashite', '満月をさがして', 'Looking for the Full Moon']",2002.0
123,Mysterious Play,"['Fushigi Yugi', 'Mysterious Play', 'ふしぎ遊戯', 'El Juego Misterioso: Fushigi Yugi', 'Fushigi Yuugi', 'Curious Play']",1995.0
125,Twin Love,"['Futakoi', '双恋', 'Twin Love']",2004.0
127,Gate Keepers,"['Gatekeepers', 'Gate Keepers', 'ゲートキーパーズ']",2000.0
129,Saiyuki,"['Saiyuki', '幻想魔伝 最遊記', 'Gensou Maden Saiyuki', 'Gensoumaden Saiyuuki']",2000.0
132,Getbackers,"['GetBackers', 'Getbackers', 'ゲットバッカーズ\u3000奪還屋', 'GetBackers: Dakkanya', 'Get Backers']",2002.0
133,Green Green,"['Green Green', 'Green Green TV', 'グリーングリーン', 'Guri Guri']",2003.0
134,Gunslinger Girl,"['ガンスリンガー・ガール', 'Gunslinger Girl', 'Gunslinger Girls']",2003.0
135,Hikaru no Go,"[""Hikaru's Go"", 'ヒカルの碁', 'Hikaru no Go']",2001.0
136,Hunter x Hunter,"['Hunter x Hunter', 'Hunter X Hunter: Cazadores de Tesoros', 'HUNTER×HUNTER（ハンター×ハンター）', 'HxH']",1999.0
141,Jinki: Extend,"['Jinki:Extend', 'ジンキ・エクステンド', 'Jinki: Extend']",2005.0
