id,titulo,ano_lancamento,classificacao
297,Grenadier: The Beautiful Warrior,2004.0,12
301,Cinderella Boy,2003.0,12
302,Future Boy Conan,1978.0,12
303,Oh! My Goddess: The Adventures of Mini-Goddess,1998.0,0
306,Magical☆Shopping Arcade Abenobashi,2002.0,18
308,Zettai Shounen,2005.0,12
309,Akahori's Heretical Hour Love Game,2005.0,12
311,Aim for the Ace!,1973.0,12
318,Hand Maid May,2000.0,12
321,Najica Blitz Tactics,2001.0,18
322,Paradise Kiss,2005.0,16
323,Paranoia Agent,2004.0,18
324,Patlabor: The Mobile Police - The TV Series,1989.0,12
325,Peach Girl: Super Pop Love Hurricane,2005.0,12
326,Pet Shop of Horrors,1999.0,18
328,Piano: The Melody of a Young Girl's Heart,2002.0,0
329,Planetes,2003.0,12
330,Midori Days,2004.0,18
334,Marmalade Boy,1994.0,12
335,Mythical Detective Loki Ragnarok,2003.0,12
336,Ginyuu Mokushiroku Meine Liebe,2004.0,12
338,The Rose of Versailles,1979.0,12
339,Serial Experiments Lain,1998.0,16
340,Time of Shura,2004.0,12
343,Tsukuyomi: Moon Phase,2004.0,12
344,Twin Spica,2003.0,12
345,Emma: A Victorian Romance,2005.0,0
347,Wild Arms,1999.0,12
348,Bottle Fairy,2003.0,0
350,Magical DoReMi,1999.0,0
354,Ultimate Girls,2005.0,12
356,Fate/stay night,2006.0,16
360,Legend of Himiko,1999.0,12
364,Gallery Fake,2005.0,12
369,Boogiepop Phantom,2000.0,18
375,All Purpose Cultural Cat Girl Nuku Nuku TV,1998.0,12
379,Excel Saga,1999.0,16
384,Gantz,2004.0,18
385,Gilgamesh,2003.0,16
386,H2,1995.0,12
387,Haibane Renmei,2002.0,12
388,Capeta,2005.0,10
390,Suzuka,2005.0,12
392,Yu Yu Hakusho: Ghost Files,1992.0,12
400,Outlaw Star,1998.0,18
406,Buzzer Beater,2005.0,12
411,Gun x Sword,2005.0,12
412,He is My Master,2005.0,18
417,Ragnarok the Animation,2004.0,12
419,Samurai Deeper Kyo,2002.0,12
424,Dirty Pair,1985.0,18
427,Kaleido Star,2003.0,12
435,Magic Knight Rayearth,1994.0,12
440,Revolutionary Girl Utena,1997.0,12
445,Tales of Eternia,2001.0,12
447,Knight Hunters,1998.0,12
455,Fantastic Children,2004.0,12
457,Mushi-Shi,2005.0,12
467,Ghost in the Shell: Stand Alone Complex,2002.0,16
469,Karin,2005.0,12
470,My Wife is a High School Girl,2005.0,12
473,Tide-Line Blue,2005.0,12
476,Ginban Kaleidoscope,2005.0,12
477,Aria the Animation,2005.0,0
478,Aquarion,2005.0,12
479,The Law of Ueki,2005.0,12
481,Yu-Gi-Oh!,2000.0,12
482,Yu-Gi-Oh! GX,2004.0,12
486,Kino's Journey,2003.0,16
488,Strawberry Marshmallow,2005.0,12
489,Kamichu!,2005.0,0
495,Sorcerer Hunters,1995.0,16
497,"Yamibo: Darkness, The Hat and the Travelers of the Books",2003.0,12
505,Fushigiboshi no☆Futagohime,2005.0,0
506,Glass no Kamen,1984.0,12
508,Hamtaro,2000.0,0
509,I My Me! Strawberry Eggs,2001.0,12
518,Fairy Princess Minky Momo,1982.0,0
521,Mermaid Melody: Pichi Pichi Pitch,2003.0,10
525,Otogi Zoshi: The Legend of Magatama,2004.0,12
527,Pokémon,1997.0,10
529,"She, The Ultimate Weapon",2002.0,16
530,Sailor Moon,1992.0,12
534,Slayers,1995.0,12
538,Tenchi in Tokyo,1997.0,12
545,Mousou Kagaku Series: Wandaba Style,2003.0,12
550,Yu☆Gi☆Oh!,1998.0,12
552,Digimon: Digital Monsters,1999.0,10
553,Descendants of Darkness,2000.0,16
554,Steel Angel Kurumi,1999.0,18
563,DNA²,1994.0,12
567,The Big O,1999.0,12
568,Bubblegum Crisis Tokyo 2040,1998.0,16
569,The Irresponsible Captain Tylor,1993.0,12
573,Saber Marionette J,1996.0,12
576,Magikano,2006.0,12
577,Eternal Alice,2006.0,12
579,Battle Programmer Shirase,2003.0,12
584,Noein: To Your Other Self,2005.0,12
586,Ayakashi: Samurai Horror Tales,2006.0,16
587,Looking Up At The Half-Moon,2006.0,12
589,Silver Fang,1986.0,12
590,Guardian Ninja Mamoru,2006.0,12
591,Ah My Buddha,2005.0,18
593,Infinite Ryvius,1999.0,12
598,Android Kikaider - The Animation,2000.0,12
603,Pretty Cure,2004.0,0
604,Magical Stage Fancy Lala,1998.0,0
605,I'm Gonna Be an Angel!,1999.0,12
606,Carried by the Wind: Tsukikage Ran,2000.0,12
610,Popotan,2003.0,18
613,The Chronicle of the Big Battle between Yin and Yang,2004.0,12
614,Madam is a Magical Girl,2005.0,12
616,Nurse Angel Ririka SOS,1995.0,10
618,Ninja Scroll: The Series,2003.0,16
620,Mermaid Forest,2003.0,16
621,Nightwalker: The Midnight Detective,1998.0,18
624,Mouse,2003.0,18
627,Major S1,2004.0,12
630,Magic User's Club,1999.0,12
633,Legend of Basara,1998.0,12
634,Koi Kaze,2004.0,16
635,Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,1999.0,12
646,Haunted Junction,1997.0,12
648,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,2004.0,12
649,Hanaukyo Maid Team: La Verite,2004.0,18
658,Akagi,2005.0,16
667,Girl Meets Girl,2006.0,12
668,Koi Koi Seven,2005.0,18
670,Lamune,2005.0,12
671,Lemon Angel Project,2006.0,10
687,Mew Mew Power,2002.0,12
688,Utakata,2004.0,12
690,Vampire Princess Miyu,1997.0,16
691,Yawara!,1989.0,12
693,Burn Up Scramble,2004.0,16
694,Canvas 2: Rainbow Colored Sketch,2005.0,12
696,Tenchi Muyo! Tenchi Universe,1995.0,12
708,Secret of Cerulean Sand,2002.0,12
709,Mujin Wakusei Survive,2003.0,0
712,Zoids Genesis,2005.0,12
718,If I See You in My Dreams,1998.0,18
721,Princess Tutu,2002.0,12
738,MÄR,2005.0,12
744,Trouble Chocolate,1999.0,12
750,Binchou-tan,2006.0,0
763,Zoids,1999.0,12
776,Nanaka 6/17,2003.0,12
782,Gasaraki,1998.0,12
783,Miami Guns,2000.0,16
786,Pugyuru,2004.0,12
790,Ergo Proxy,2006.0,16
798,Yomigaeru Sora: Rescue Wings,2006.0,12
800,NieA Under 7,2000.0,12
812,Arjuna,2001.0,12
813,Dragon Ball Z,1989.0,12
817,Tactical Roar,2006.0,12
831,A Little Snow Fairy Sugar,2001.0,10
836,Sister Princess,2001.0,12
838,Shadow Star Narutaru,2003.0,16
840,The World of Narue,2003.0,12
845,Kiba,2006.0,12
849,The Melancholy of Haruhi Suzumiya,2006.0,12
850,Gakuen Heaven,2006.0,12
853,Ouran High School Host Club,2006.0,12
854,Soul Link,2006.0,16
855,Strawberry Panic,2006.0,12
856,Utawarerumono,2006.0,16
857,Air Gear,2006.0,18
859,Digimon Data Squad,2006.0,10
860,Disgaea,2006.0,12
861,xxxHOLiC,2006.0,12
865,Metal Armor Dragonar,1987.0,12
874,Digimon Tamers,2001.0,10
876,Street Fighter II: The Animated Series,1995.0,12
877,Nana,2006.0,18
878,Zegapain,2006.0,12
879,Simoun,2006.0,12
889,Black Lagoon,2006.0,16
890,King of Braves GaoGaiGar,1997.0,12
907,Princess Princess,2006.0,12
909,Geneshaft,2001.0,12
910,Himawari!,2006.0,12
916,Tokko,2006.0,16
918,Gintama,2006.0,12
919,Ray The Animation,2006.0,12
924,Transformers Super-God Masterforce,1988.0,12
925,Transformers The Headmasters,1987.0,12
928,Transformers Cybertron,2005.0,12
929,Aura Battler Dunbine,1983.0,12
930,Space Runaway Ideon,1980.0,12
934,Higurashi: When They Cry,2006.0,16
935,Witchblade,2006.0,16
940,Inukami!,2006.0,12
941,Renkin San-kyuu Magical? Pokaan,2006.0,18
943,Yume Tsukai,2006.0,10
951,Chibi Maruko-chan,1990.0,0
953,Jyu-Oh-Sei: Planet of the Beast King,2006.0,16
956,Dino Mech Gaiking,1976.0,12
957,The Story of Saiunkoku,2006.0,12
966,Shin Chan,1992.0,0
967,Fist of the North Star,1984.0,18
971,Astro Boy (2003),2003.0,0
988,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,2005.0,12
990,Kamisama Kazoku,2006.0,12
992,Dual! Parallel Trouble Adventure,1999.0,12
998,Blue Seed,1994.0,12
1000,Space Pirate Captain Harlock,1978.0,12
1013,Le Chevalier D'Eon,2006.0,16
1017,Orphen,1998.0,12
1019,Mirage of Blaze,2002.0,12
1021,Kaikan Phrase,1999.0,12
1022,Generator Gawl,1998.0,12
1025,Legend of Black Heaven,1999.0,18
1037,Saint Beast: Seijuu Kourin-hen,2003.0,12
1045,Those Who Hunt Elves,1996.0,12
1048,SoulTaker,2001.0,12
1057,Ippatsu Kiki Musume,1999.0,18
1062,Nekojiru Gekijou Jirujiru Original,1999.0,16
1065,Touch,1985.0,12
1067,Demonbane,2006.0,16
1069,Voltes V,1977.0,12
1082,Daphne in the Brilliant Blue,2004.0,12
1083,Human Crossing,2003.0,12
1087,Kimagure Orange Road,1987.0,12
1088,Super Dimension Fortress Macross,1982.0,12
1098,Samurai Girl Real Bout High School,2001.0,12
1103,Marriage of God & Soul Godannar!!,2003.0,12
1108,Soul Hunter,1999.0,12
1126,Figure 17: Tsubasa & Hikaru,2001.0,12
1127,UFO Ultramaiden Valkyrie,2002.0,18
1132,Digimon Frontier,2002.0,10
1133,Tenchi Muyou! GXP,2002.0,12
1136,Betterman,1999.0,16
1137,Shinzo,2000.0,10
1138,Medabots,1999.0,10
1145,Kaze no Yojimbo,2001.0,16
1157,Final Fantasy: Unlimited,2001.0,12
1163,Neo Ranga,1998.0,12
1164,Rune Soldier,2001.0,12
1167,Samurai Gun,2004.0,16
1175,Metal Fighter Miku,1994.0,12
1180,Hyper Police,1997.0,16
1184,Lost Universe,1998.0,12
1186,Battle Athletes Victory,1997.0,10
1188,Momoiro Sisters,1998.0,12
1189,Eden's Bowy,1999.0,12
1194,Coyote Ragtime Show,2006.0,12
1195,The Familiar of Zero,2006.0,12
1196,Masuda Kousuke Gekijou: Gag Manga Biyori,2005.0,12
1198,Tsuyokiss,2006.0,12
1210,Welcome to the N.H.K.,2006.0,18
1212,Oban Star-Racers,2006.0,10
1218,Tonagura!,2006.0,12
1221,Powerpuff Girls Z,2006.0,10
1222,We Were There,2006.0,12
1224,Aquarian Age: Sign for Evolution,2002.0,12
1226,Angel Links,1999.0,12
1230,Innocent Venus,2006.0,12
1231,Saber Marionette J to X,1998.0,12
1236,Spaceketeers,1978.0,0
1243,Night Head Genesis,2006.0,16
1246,Yugo The Negotiator,2004.0,16
1247,Project Blue Earth SOS,2006.0,12
1249,Zone of the Enders: Dolores,2001.0,12
1250,Elemental Gelade,2005.0,12
1251,Nadia: The Secret of Blue Water,1990.0,12
1254,Saint Seiya: Knights of the Zodiac,1986.0,12
1264,Samurai Troopers,1988.0,12
1292,Afro Samurai,2007.0,18
1293,Urusei Yatsura,1981.0,12
1300,Omishi Mahou Gekijou: Risky★Safety,1999.0,10
1312,Dai-Guard: Terrestrial Defense Corp.,1999.0,12
1325,Violinist of Hamelin,1996.0,12
1349,A.D. Police: To Protect and Serve,1999.0,12
1374,Guyver: The Bioboosted Armor,2005.0,16
1377,Space Symphonic Poem Maetel: Galaxy Express 999 Side Story,2004.0,12
1391,Future GPX Cyber Formula,1991.0,12
1397,Macross 7,1994.0,12
1409,IGPX: Immortal Grand Prix,2003.0,12
1412,Lupin III,1971.0,12
1442,Reign: The Conqueror,1999.0,18
1445,Speed Racer,1967.0,12
1448,Voltron: Defender of the Universe,1981.0,12
1453,Maison Ikkoku,1986.0,18
1454,Kemonozume,2006.0,18
1456,Licensed by Royalty,2003.0,12
1458,Tekkaman,1975.0,0
1459,Tekkaman Blade,1992.0,16
1465,Sadamitsu the Destroyer,2001.0,16
1466,Hakugei: Legend of the Moby Dick,1997.0,12
1469,Monster Rancher,1999.0,12
1470,City Hunter,1987.0,12
1482,D.Gray-man,2006.0,12
1483,Master Keaton,1998.0,16
1485,Baby and Me,1996.0,0
1486,Kodocha,1996.0,12
1490,The Galaxy Railways,2003.0,12
1498,Black Blood Brothers,2006.0,16
1502,Magical Project S,1996.0,10
1508,Sci-Fi Harry,2000.0,16
1509,Save Me! Lollipop,2006.0,12
1517,Silent Möbius,1998.0,12
1519,Black Lagoon: The Second Barrage,2006.0,16
1524,Windy Tales,2004.0,0
1530,Kanon,2006.0,12
1533,Wedding Peach,1995.0,10
1534,Pretty Cure Splash Star,2006.0,0
1535,Death Note,2006.0,16
1536,Buso Renkin,2006.0,12
1538,Pumpkin Scissors,2006.0,16
1541,Fist of the Blue Sky,2006.0,16
1542,Brain Powerd,1998.0,12
1543,Brighter Than the Dawning Blue,2006.0,12
1554,Living for the Day After Tomorrow,2006.0,12
1555,Tokimeki Memorial,2006.0,12
1557,Shonen Onmyoji,2006.0,12
1559,KenIchi: The Mightiest Disciple,2006.0,12
1561,Lovely Idol,2006.0,12
1562,The Wallflower,2006.0,12
1567,Mysterious Thief Saint Tail,1995.0,0
1570,Happiness!,2006.0,12
1571,Ghost Hunt,2006.0,12
1572,Kimba the White Lion,1965.0,0
1573,Zenki,1995.0,12
1575,Code Geass: Lelouch of the Rebellion,2006.0,16
1581,Gift: Eternal Rainbow,2006.0,12
1583,009-1,2006.0,16
1587,Ghost Slayers Ayashi,2006.0,16
1588,Venus to Mamoru!,2006.0,12
1589,Bartender,2006.0,12
1591,Kujibiki♥Unbalance,2006.0,12
1592,Hataraki Man,2006.0,12
