id,titulo,ano_lancamento,classificacao
27231,Hirunaka no Ryuusei,2011.0,12
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,2015.0,16
3285,Holyland,2000.0,16
8157,Kamisama Hajimemashita,2008.0,12
610,Skip Beat!,2002.0,12
418,Mushishi,1999.0,16
39325,Boku dake ga Inai Machi,2012.0,16
669,Highschool of the Dead,2006.0,16
112589,Tonikaku Kawaii,2018.0,12
98720,Goblin Slayer,2016.0,16
62795,Tomodachi Game,2013.0,12
768,Gunnm,1990.0,16
145,Beck,2000.0,12
10,xxxHOLiC,2003.0,16
658,Mugen no Juunin,1993.0,16
5293,Doubt,2007.0,12
107562,Kusuriya no Hitorigoto,2017.0,16
144180,Gachiakuta,2022.0,12
103890,Bokutachi wa Benkyou ga Dekinai,2017.0,12
93972,Totsukuni no Shoujo,2015.0,12
74,Air Gear,2002.0,16
37707,Shigatsu wa Kimi no Uso,2011.0,12
119022,Kage no Jitsuryokusha ni Naritakute!,2018.0,16
72467,Shoujo Shuumatsu Ryokou,2014.0,16
18597,Sankarea,2009.0,16
29211,Gekkan Shoujo Nozaki-kun,2011.0,16
70801,Dead Dead Demons Dededede Destruction,2014.0,16
116880,Mato Seihei no Slave,2019.0,16
20593,Btooom!,2009.0,16
85173,Happiness,2015.0,12
9,Tsubasa: RESERVoir CHRoNiCLE,2003.0,12
4,Yokohama Kaidashi Kikou,1994.0,16
11054,Billy Bat,2008.0,16
78537,Karakai Jouzu no Takagi-san,2012.0,12
11767,Suki tte Ii na yo.,2008.0,12
111996,The God of High School,2011.0,16
43,Eyeshield 21,2002.0,12
74697,Re:Zero kara Hajimeru Isekai Seikatsu,2014.0,16
67645,Namaikizakari.,2013.0,12
909,Gyo: Ugomeku Bukimi,2001.0,16
11514,Otoyomegatari,2008.0,16
36213,Monster Musume no Iru Nichijou,2012.0,16
11652,Kuroko no Basket,2008.0,12
89734,Dragon Ball Super,2015.0,12
35719,Hibi Chouchou,2012.0,12
1224,3-gatsu no Lion,2007.0,16
50,Shaman King,1998.0,12
53,Yuu☆Yuu☆Hakusho,1990.0,12
15,Mahou Sensei Negima!,2003.0,16
122448,Kubo-san wa Mob wo Yurusanai,2019.0,16
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2011.0,16
4571,Akagami no Shirayuki-hime,2006.0,12
45275,Girls of the Wild's,2011.0,16
24903,Gangsta.,2011.0,16
93753,Vanitas no Karte,2015.0,12
30079,Annarasumanara,2010.0,16
8483,Kimi no Iru Machi,2008.0,16
107,Chobits,2000.0,16
988,Shijou Saikyou no Deshi Kenichi,2002.0,16
118196,Kawaii dake ja Nai Shikimori-san,2019.0,16
1101,Akumetsu,2002.0,12
103942,Ao no Flag,2017.0,12
111202,Lookism,2014.0,16
671,To LOVE-Ru,2006.0,16
17465,Omoide Emanon,2006.0,16
36267,Boku wa Mari no Naka,2012.0,16
16,Love Hina,1998.0,16
3403,Rosario to Vampire: Season II,2007.0,16
676,InuYasha,1996.0,12
9115,Ookami to Koushinryou,2006.0,16
13949,Medaka Box,2009.0,16
104241,Mairimashita! Iruma-kun,2017.0,12
79085,Given,2013.0,16
106,Cardcaptor Sakura,1996.0,12
147272,The Greatest Estate Developer,2021.0,16
58563,Innocent,2013.0,16
21614,Blood Lad,2009.0,16
97244,Shimanami Tasogare,2015.0,16
591,Koukou Debut,2003.0,12
81669,Overlord,2012.0,16
31,Lovely★Complex,2001.0,12
93516,SQ: Begin W/Your Name!,2015.0,16
123681,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,2019.0,16
7378,Strobe Edge,2007.0,12
44155,Kimi wa Midara na Boku no Joou,2012.0,16
91514,Kishuku Gakkou no Juliet,2015.0,12
651,Kaze no Tani no Nausicaä,1982.0,16
131403,Choujin X,2021.0,16
93180,Platinum End,2015.0,12
12586,Eden no Ori,2008.0,16
147874,Gokurakugai,2022.0,12
14893,Monogatari Series: First Season,2006.0,16
115848,"Fuufu Ijou, Koibito Miman.",2018.0,16
95353,"Kumo desu ga, Nani ka?",2015.0,16
141833,Hikaru ga Shinda Natsu,2021.0,16
103237,Wind Breaker,2013.0,16
21479,Sword Art Online,2009.0,16
112807,Boku no Kokoro no Yabai Yatsu,2018.0,12
756,Banana Fish,1985.0,12
125052,Yamada-kun to Lv999 no Koi wo Suru,2019.0,16
121269,Who Made Me a Princess,2017.0,16
72025,Kengan Ashura,2012.0,16
1061,Meitantei Conan,1994.0,12
87844,The Fable,2014.0,16
1303,Ashita no Joe,1968.0,12
73603,Kakegurui,2014.0,12
463,NHK ni Youkoso!,2003.0,12
48399,No Game No Life,2012.0,16
838,Angel Densetsu,1992.0,12
